,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
35,Centronyx henslowii,31.995047,-85.07577,,1999
36,Centronyx henslowii,30.48214,-90.021774,,1984
37,Centronyx henslowii,42.31475,-71.17435,,1983
38,Centronyx henslowii,33.5083,-79.0659,,1998
39,Centronyx henslowii,29.059206,-95.27457,,1991
40,Centronyx henslowii,30.4689,-86.6352,,2000
41,Centronyx henslowii,30.082296,-85.03606,,1999
42,Centronyx henslowii,30.431803,-89.9655,,1980
43,Centronyx henslowii,32.44923,-93.82839,,1974
44,Centronyx henslowii,28.19268,-82.675095,,1994
45,Centronyx henslowii,30.42144,-89.97597,,1983
46,Centronyx henslowii,28.689344,-81.59953,,1999
47,Centronyx henslowii,41.27978,-72.31964,,1992
48,Centronyx henslowii,32.89983,-94.5563,,1996
49,Centronyx henslowii,38.961388,-74.96083,,1992
50,Centronyx henslowii,30.450968,-88.65581,,1999
51,Centronyx henslowii,30.482409,-81.76055,,1995
52,Centronyx henslowii,28.255054,-82.64269,,1989
53,Centronyx henslowii,31.528414,-94.61434,,1995
54,Centronyx henslowii,28.092957,-82.65414,,1981
55,Centronyx henslowii,28.112982,-97.416405,,1977
56,Centronyx henslowii,41.9554,-82.514,,1979
57,Centronyx henslowii,29.9517,-96.03913,,1994
58,Centronyx henslowii,30.262514,-87.68854,,1994
59,Centronyx henslowii,30.269743,-91.09211,,1992
60,Centronyx henslowii,30.187944,-84.16948,,1988
61,Centronyx henslowii,30.829433,-90.51091,,1986
62,Centronyx henslowii,30.029081,-95.83952,,1993
63,Centronyx henslowii,28.966425,-95.46699,,1991
64,Centronyx henslowii,32.586018,-85.44952,,1998
65,Centronyx henslowii,30.436611,-89.97073,,1983
66,Centronyx henslowii,30.453188,-89.991806,,1985
67,Centronyx henslowii,30.078602,-84.15115,,1974
68,Centronyx henslowii,33.56441,-91.95213,,1997
69,Centronyx henslowii,33.807823,-93.776726,,1999
70,Centronyx henslowii,30.799728,-87.72304,,1995
71,Centronyx henslowii,30.275747,-87.584335,,1998
72,Centronyx henslowii,30.058825,-84.293724,,1997
73,Centronyx henslowii,29.606876,-82.30311,,1997
74,Centronyx henslowii,29.95082,-96.03884,,1996
75,Centronyx henslowii,29.639723,-82.36313,,1999
76,Centronyx henslowii,31.042831,-93.050248,29278.0,1997
77,Centronyx henslowii,30.50675,-89.96596,,1984
78,Centronyx henslowii,30.524857,-90.16565,,2000
79,Centronyx henslowii,28.678173,-80.729485,,1999
80,Centronyx henslowii,29.050327,-95.47224,,1977
81,Centronyx henslowii,30.738173,-83.511566,,2000
82,Centronyx henslowii,31.634953,-81.15369,,1999
83,Centronyx henslowii,30.151566,-84.14733,,1997
84,Centronyx henslowii,30.327879,-94.97715,,1999
85,Centronyx henslowii,29.57368,-94.389854,,2000
86,Centronyx henslowii,30.26469,-87.669914,,1992
87,Centronyx henslowii,34.749,-91.8957,,1974
88,Centronyx henslowii,36.33537,-92.38516,,1976
89,Centronyx henslowii,34.89765,-76.94467,,1999
90,Centronyx henslowii,32.831783,-94.58001,,1996
91,Centronyx henslowii,32.69587,-93.50426,,1999
92,Centronyx henslowii,31.47269,-94.599625,,1983
93,Centronyx henslowii,30.456646,-90.002014,,1983
94,Centronyx henslowii,30.448896,-90.05704,,1980
95,Centronyx henslowii,32.743664,-94.168106,,2000
96,Centronyx henslowii,28.868279,-81.44427,,1993
97,Centronyx henslowii,29.141823,-95.55794,,1983
98,Centronyx henslowii,30.500324,-88.7982,,2000
99,Centronyx henslowii,28.344463,-82.121086,,1999
100,Centronyx henslowii,36.356056,-88.00913,,2000
101,Centronyx henslowii,32.42814,-94.689445,,2000
102,Centronyx henslowii,33.849888,-92.242325,,1994
103,Centronyx henslowii,29.373573,-95.623024,,2000
104,Centronyx henslowii,30.187973,-84.16864,,1989
105,Centronyx henslowii,28.741549,-97.12094,,1997
106,Centronyx henslowii,42.33104,-71.12039,,1983
107,Centronyx henslowii,29.76333,-95.36332,,1972
108,Centronyx henslowii,30.628,-96.33444,,1985
109,Centronyx henslowii,32.50075,-94.74051,,1996
110,Centronyx henslowii,33.37341,-95.68834,,1995
111,Centronyx henslowii,29.03385,-95.43442,,1977
112,Centronyx henslowii,33.53791,-92.46985,,1998
113,Centronyx henslowii,33.12822,-91.96123,,1988
114,Centronyx henslowii,33.8584,-92.29405,,1994
115,Centronyx henslowii,34.1209,-93.05377,,1989
116,Centronyx henslowii,28.96855,-95.45522,,1991
117,Centronyx henslowii,35.140793,-89.8254,,1994
118,Centronyx henslowii,35.05958,-90.14102,,1988
119,Centronyx henslowii,36.101597,-89.56754,,1990
120,Centronyx henslowii,28.963392,-95.45986,,1990
121,Centronyx henslowii,30.180155,-84.6476,,1996
122,Centronyx henslowii,31.0225,-92.375275,,2000
123,Centronyx henslowii,31.596666,-92.03111,,1998
124,Centronyx henslowii,30.352135,-81.91296,,1998
125,Centronyx henslowii,29.5799,-82.2964,,2000
126,Centronyx henslowii,32.500965,-94.75526,,1997
127,Centronyx henslowii,29.04846,-95.47776,,1978
128,Centronyx henslowii,30.47907,-90.03962,,1984
129,Centronyx henslowii,27.931236,-81.15223,,1997
130,Centronyx henslowii,32.076916,-81.468,,1995
131,Centronyx henslowii,28.93014,-95.424093,29558.0,1990
132,Centronyx henslowii,29.066244,-95.333144,29533.0,1991
133,Centronyx henslowii,30.547922,-94.41093,,1995
134,Centronyx henslowii,32.853092,-95.89139,,1997
135,Centronyx henslowii,28.0706,-82.8314,,1994
136,Centronyx henslowii,29.059586,-95.26804,,1993
137,Centronyx henslowii,29.0477,-95.2347,,1994
138,Centronyx henslowii,30.412256,-82.780365,,1996
139,Centronyx henslowii,28.96546,-95.46256,,1991
140,Centronyx henslowii,27.574635,-81.02288,,1992
141,Centronyx henslowii,32.780712,-94.71103,,1991
142,Centronyx henslowii,31.398666,-81.596466,,1984
143,Centronyx henslowii,39.564392,-84.01499,,1975
144,Centronyx henslowii,30.4742,-86.6236,,2000
145,Centronyx henslowii,33.494976,-80.29969,,2000
146,Centronyx henslowii,30.080383,-85.02731,,1999
147,Centronyx henslowii,29.599468,-82.29283,,1996
148,Centronyx henslowii,36.349167,-94.287224,,1996
149,Centronyx henslowii,29.769146,-93.67218,,1987
150,Centronyx henslowii,32.639374,-92.23194,,1999
151,Centronyx henslowii,33.395477,-80.06544,,1998
152,Centronyx henslowii,31.12099,-92.47903,,1997
153,Centronyx henslowii,35.107586,-88.27897,,1995
154,Centronyx henslowii,29.958485,-96.01403,,1994
155,Centronyx henslowii,30.028065,-95.843544,,1993
156,Centronyx henslowii,29.962074,-95.70946,,1993
157,Centronyx henslowii,29.762691,-93.69856,,1991
158,Centronyx henslowii,34.57443,-82.17224,,1988
159,Centronyx henslowii,34.92211,-87.97997,,1988
160,Centronyx henslowii,30.47843,-90.10486,,1972
161,Centronyx henslowii,31.31967,-81.5865,,1998
162,Centronyx henslowii,33.310184,-95.67586,,1994
163,Centronyx henslowii,32.34052,-95.29816,,1994
164,Centronyx henslowii,32.676373,-94.070435,,1997
165,Centronyx henslowii,32.854786,-95.94086,,1997
166,Centronyx henslowii,32.040386,-94.45118,,1995
167,Centronyx henslowii,32.778038,-94.588165,,2000
168,Centronyx henslowii,33.281178,-94.2009,,1998
169,Centronyx henslowii,32.859978,-95.97244,,1999
170,Centronyx henslowii,32.488914,-94.733734,,2000
171,Centronyx henslowii,28.721302,-95.89296,,1997
172,Centronyx henslowii,28.814596,-80.831566,,1991
173,Centronyx henslowii,29.735435,-95.65395,,1993
174,Centronyx henslowii,28.81251,-80.8412,,1991
175,Centronyx henslowii,32.618774,-92.22207,,1997
176,Centronyx henslowii,29.5349,-94.76309,,2000
177,Centronyx henslowii,31.201666,-91.84028,,1994
178,Centronyx henslowii,30.43389,-85.18638,,1988
